[20/06/2022 13:31:53 - INFO] Discord Presence activated
[20/06/2022 13:31:53 - INFO] Creating discord-rpc client
[20/06/2022 13:31:54 - INFO] Successfully connected to Discord
[20/06/2022 13:31:54 - DEBUG] Loading git extension
[20/06/2022 13:31:54 - TRACE] Git extension not activated, activating...
[20/06/2022 13:31:54 - DEBUG] Loading git extension
[20/06/2022 13:31:54 - TRACE] Git extension not activated, activating...
[20/06/2022 13:31:55 - TRACE] VSCode language id: python
[20/06/2022 13:32:05 - TRACE] VSCode language id: python
[20/06/2022 13:32:07 - TRACE] VSCode language id: python
[20/06/2022 13:32:15 - TRACE] VSCode language id: python
[20/06/2022 13:32:17 - TRACE] VSCode language id: python
[20/06/2022 13:35:42 - TRACE] VSCode language id: python
[20/06/2022 13:35:49 - TRACE] VSCode language id: python
[20/06/2022 13:35:59 - TRACE] VSCode language id: python
[20/06/2022 13:36:11 - TRACE] VSCode language id: python
[20/06/2022 13:36:25 - TRACE] VSCode language id: python
[20/06/2022 13:36:26 - TRACE] VSCode language id: python
[20/06/2022 13:36:26 - TRACE] VSCode language id: jsonc
[20/06/2022 13:36:27 - TRACE] VSCode language id: python
[20/06/2022 13:36:27 - TRACE] VSCode language id: python
[20/06/2022 13:37:33 - TRACE] VSCode language id: python
[20/06/2022 13:37:52 - TRACE] VSCode language id: python
[20/06/2022 13:37:54 - TRACE] VSCode language id: python
[20/06/2022 13:38:09 - TRACE] VSCode language id: jsonc
[20/06/2022 13:38:29 - TRACE] VSCode language id: jsonc
[20/06/2022 13:38:29 - TRACE] VSCode language id: jsonc
[20/06/2022 13:38:51 - TRACE] VSCode language id: jsonc
[20/06/2022 13:38:53 - TRACE] VSCode language id: jsonc
[20/06/2022 13:39:01 - TRACE] VSCode language id: python
[20/06/2022 13:40:02 - TRACE] VSCode language id: python
[20/06/2022 13:40:04 - TRACE] VSCode language id: python
[20/06/2022 13:40:04 - TRACE] VSCode language id: python
[20/06/2022 13:40:06 - TRACE] VSCode language id: python
[20/06/2022 13:40:07 - TRACE] VSCode language id: jsonc
[20/06/2022 13:40:07 - TRACE] VSCode language id: jsonc
[20/06/2022 13:40:07 - TRACE] VSCode language id: python
[20/06/2022 13:40:07 - TRACE] VSCode language id: python
[20/06/2022 13:40:16 - TRACE] VSCode language id: plaintext
[20/06/2022 13:40:16 - TRACE] VSCode language id: python
[20/06/2022 13:40:28 - TRACE] VSCode language id: python
[20/06/2022 13:40:30 - TRACE] VSCode language id: python
[20/06/2022 13:40:57 - TRACE] VSCode language id: jsonc
[20/06/2022 13:41:03 - TRACE] VSCode language id: jsonc
[20/06/2022 13:41:05 - TRACE] VSCode language id: jsonc
[20/06/2022 13:41:07 - TRACE] VSCode language id: python
[20/06/2022 13:41:07 - TRACE] VSCode language id: python
[20/06/2022 13:41:14 - TRACE] VSCode language id: python
[20/06/2022 13:41:14 - TRACE] VSCode language id: python
[20/06/2022 13:41:21 - TRACE] VSCode language id: python
[20/06/2022 13:41:23 - TRACE] VSCode language id: python
[20/06/2022 13:41:26 - TRACE] VSCode language id: python
[20/06/2022 13:41:28 - TRACE] VSCode language id: python
[20/06/2022 13:41:46 - TRACE] VSCode language id: python
[20/06/2022 13:41:48 - TRACE] VSCode language id: python
[20/06/2022 13:41:50 - TRACE] VSCode language id: python
[20/06/2022 13:41:54 - TRACE] VSCode language id: python
[20/06/2022 13:41:56 - TRACE] VSCode language id: python
[20/06/2022 13:42:09 - TRACE] VSCode language id: python
[20/06/2022 13:42:11 - TRACE] VSCode language id: python
[20/06/2022 13:42:11 - TRACE] VSCode language id: python
[20/06/2022 13:42:13 - TRACE] VSCode language id: python
[20/06/2022 13:42:15 - TRACE] VSCode language id: python
[20/06/2022 13:42:17 - TRACE] VSCode language id: python
[20/06/2022 13:42:19 - TRACE] VSCode language id: python
[20/06/2022 13:42:21 - TRACE] VSCode language id: python
[20/06/2022 13:42:23 - TRACE] VSCode language id: python
[20/06/2022 13:42:26 - TRACE] VSCode language id: python
[20/06/2022 13:42:28 - TRACE] VSCode language id: python
[20/06/2022 13:42:41 - TRACE] VSCode language id: python
[20/06/2022 13:42:43 - TRACE] VSCode language id: python
[20/06/2022 13:43:20 - TRACE] VSCode language id: python
[20/06/2022 13:43:22 - TRACE] VSCode language id: python
[20/06/2022 13:43:42 - TRACE] VSCode language id: python
[20/06/2022 13:43:44 - TRACE] VSCode language id: python
[20/06/2022 13:43:46 - TRACE] VSCode language id: python
[20/06/2022 13:44:24 - TRACE] VSCode language id: python
[20/06/2022 13:44:24 - TRACE] VSCode language id: python
[20/06/2022 13:44:26 - TRACE] VSCode language id: python
[20/06/2022 13:44:28 - TRACE] VSCode language id: python
[20/06/2022 13:44:28 - TRACE] VSCode language id: python
[20/06/2022 13:44:38 - TRACE] VSCode language id: python
[20/06/2022 13:44:46 - TRACE] VSCode language id: python
[20/06/2022 13:44:48 - TRACE] VSCode language id: python
[20/06/2022 13:44:57 - TRACE] VSCode language id: python
[20/06/2022 13:44:59 - TRACE] VSCode language id: python
[20/06/2022 13:45:14 - TRACE] VSCode language id: python
[20/06/2022 13:45:16 - TRACE] VSCode language id: python
[20/06/2022 13:45:18 - TRACE] VSCode language id: python
[20/06/2022 13:45:20 - TRACE] VSCode language id: python
[20/06/2022 13:45:22 - TRACE] VSCode language id: python
[20/06/2022 13:45:30 - TRACE] VSCode language id: python
[20/06/2022 13:45:32 - TRACE] VSCode language id: python
[20/06/2022 13:45:37 - TRACE] VSCode language id: python
[20/06/2022 13:45:39 - TRACE] VSCode language id: python
[20/06/2022 13:45:42 - TRACE] VSCode language id: python
[20/06/2022 13:45:46 - TRACE] VSCode language id: python
[20/06/2022 13:45:48 - TRACE] VSCode language id: python
[20/06/2022 13:46:24 - TRACE] VSCode language id: python
[20/06/2022 13:46:26 - TRACE] VSCode language id: python
[20/06/2022 13:46:28 - TRACE] VSCode language id: python
[20/06/2022 13:46:30 - TRACE] VSCode language id: python
[20/06/2022 13:46:32 - TRACE] VSCode language id: python
[20/06/2022 13:46:34 - TRACE] VSCode language id: python
[20/06/2022 13:46:36 - TRACE] VSCode language id: python
[20/06/2022 13:46:39 - TRACE] VSCode language id: python
[20/06/2022 13:46:41 - TRACE] VSCode language id: python
[20/06/2022 13:46:44 - TRACE] VSCode language id: python
[20/06/2022 13:46:46 - TRACE] VSCode language id: python
[20/06/2022 13:46:49 - TRACE] VSCode language id: python
[20/06/2022 13:46:52 - TRACE] VSCode language id: python
[20/06/2022 13:46:56 - TRACE] VSCode language id: python
[20/06/2022 13:46:58 - TRACE] VSCode language id: python
[20/06/2022 13:47:01 - TRACE] VSCode language id: python
[20/06/2022 13:47:03 - TRACE] VSCode language id: python
[20/06/2022 13:47:05 - TRACE] VSCode language id: python
[20/06/2022 13:47:08 - TRACE] VSCode language id: python
[20/06/2022 13:47:10 - TRACE] VSCode language id: python
[20/06/2022 13:47:12 - TRACE] VSCode language id: python
[20/06/2022 13:47:14 - TRACE] VSCode language id: python
[20/06/2022 13:47:15 - TRACE] VSCode language id: python
[20/06/2022 13:47:17 - TRACE] VSCode language id: python
[20/06/2022 13:47:20 - TRACE] VSCode language id: python
[20/06/2022 13:47:22 - TRACE] VSCode language id: python
[20/06/2022 13:47:23 - TRACE] VSCode language id: python
[20/06/2022 13:47:25 - TRACE] VSCode language id: python
[20/06/2022 13:47:32 - TRACE] VSCode language id: python
[20/06/2022 13:47:34 - TRACE] VSCode language id: python
[20/06/2022 13:47:45 - TRACE] VSCode language id: python
[20/06/2022 13:47:47 - TRACE] VSCode language id: python
[20/06/2022 13:47:49 - TRACE] VSCode language id: python
[20/06/2022 13:47:51 - TRACE] VSCode language id: python
[20/06/2022 13:47:51 - TRACE] VSCode language id: python
[20/06/2022 13:47:53 - TRACE] VSCode language id: python
[20/06/2022 13:47:55 - TRACE] VSCode language id: python
[20/06/2022 13:47:57 - TRACE] VSCode language id: python
[20/06/2022 13:47:59 - TRACE] VSCode language id: python
[20/06/2022 13:48:02 - TRACE] VSCode language id: python
[20/06/2022 13:48:04 - TRACE] VSCode language id: python
[20/06/2022 13:48:06 - TRACE] VSCode language id: python
[20/06/2022 13:48:08 - TRACE] VSCode language id: python
[20/06/2022 13:48:10 - TRACE] VSCode language id: python
[20/06/2022 13:48:13 - TRACE] VSCode language id: python
[20/06/2022 13:48:13 - TRACE] VSCode language id: python
[20/06/2022 13:48:15 - TRACE] VSCode language id: python
[20/06/2022 13:48:18 - TRACE] VSCode language id: python
[20/06/2022 13:48:18 - TRACE] VSCode language id: python
[20/06/2022 13:48:20 - TRACE] VSCode language id: python
[20/06/2022 13:48:23 - TRACE] VSCode language id: python
[20/06/2022 13:48:25 - TRACE] VSCode language id: python
[20/06/2022 13:48:44 - TRACE] VSCode language id: python
[20/06/2022 13:48:46 - TRACE] VSCode language id: python
[20/06/2022 13:48:48 - TRACE] VSCode language id: python
[20/06/2022 13:50:29 - TRACE] VSCode language id: jsonc
[20/06/2022 13:50:29 - TRACE] VSCode language id: jsonc
[20/06/2022 13:50:46 - TRACE] VSCode language id: python
[20/06/2022 13:50:47 - TRACE] VSCode language id: python
[20/06/2022 13:50:49 - TRACE] VSCode language id: python
[20/06/2022 13:50:51 - TRACE] VSCode language id: python
[20/06/2022 13:50:53 - TRACE] VSCode language id: python
[20/06/2022 13:51:20 - TRACE] VSCode language id: jsonc
[20/06/2022 13:51:20 - TRACE] VSCode language id: python
[20/06/2022 13:51:20 - TRACE] VSCode language id: python
[20/06/2022 13:51:21 - TRACE] VSCode language id: python
[20/06/2022 13:51:41 - TRACE] VSCode language id: python
[20/06/2022 13:51:43 - TRACE] VSCode language id: python
[20/06/2022 13:51:43 - TRACE] VSCode language id: python
[20/06/2022 13:51:43 - TRACE] VSCode language id: python
[20/06/2022 13:51:47 - TRACE] VSCode language id: python
[20/06/2022 13:51:49 - TRACE] VSCode language id: python
[20/06/2022 13:51:51 - TRACE] VSCode language id: python
[20/06/2022 13:51:53 - TRACE] VSCode language id: python
[20/06/2022 13:51:59 - TRACE] VSCode language id: python
[20/06/2022 13:52:01 - TRACE] VSCode language id: python
[20/06/2022 13:52:05 - TRACE] VSCode language id: python
[20/06/2022 13:52:07 - TRACE] VSCode language id: python
[20/06/2022 13:52:09 - TRACE] VSCode language id: python
[20/06/2022 13:52:20 - TRACE] VSCode language id: python
[20/06/2022 13:52:22 - TRACE] VSCode language id: python
[20/06/2022 13:52:22 - TRACE] VSCode language id: python
[20/06/2022 13:52:22 - TRACE] VSCode language id: python
[20/06/2022 13:52:43 - TRACE] VSCode language id: python
[20/06/2022 13:52:45 - TRACE] VSCode language id: python
[20/06/2022 13:52:48 - TRACE] VSCode language id: python
[20/06/2022 13:52:50 - TRACE] VSCode language id: python
[20/06/2022 13:52:52 - TRACE] VSCode language id: python
[20/06/2022 13:52:54 - TRACE] VSCode language id: python
[20/06/2022 13:52:56 - TRACE] VSCode language id: python
[20/06/2022 13:52:58 - TRACE] VSCode language id: python
[20/06/2022 13:53:18 - TRACE] VSCode language id: python
[20/06/2022 13:53:20 - TRACE] VSCode language id: python
[20/06/2022 13:53:29 - TRACE] VSCode language id: python
[20/06/2022 13:53:31 - TRACE] VSCode language id: python
[20/06/2022 13:53:33 - TRACE] VSCode language id: python
[20/06/2022 13:53:35 - TRACE] VSCode language id: python
[20/06/2022 13:53:38 - TRACE] VSCode language id: python
[20/06/2022 13:53:40 - TRACE] VSCode language id: python
[20/06/2022 13:53:41 - TRACE] VSCode language id: python
[20/06/2022 13:53:43 - TRACE] VSCode language id: python
[20/06/2022 13:53:45 - TRACE] VSCode language id: python
[20/06/2022 13:53:45 - TRACE] VSCode language id: python
[20/06/2022 13:53:47 - TRACE] VSCode language id: python
[20/06/2022 13:53:48 - TRACE] VSCode language id: python
[20/06/2022 13:53:50 - TRACE] VSCode language id: python
[20/06/2022 13:53:52 - TRACE] VSCode language id: python
[20/06/2022 13:53:54 - TRACE] VSCode language id: python
[20/06/2022 13:53:56 - TRACE] VSCode language id: python
[20/06/2022 13:53:58 - TRACE] VSCode language id: python
[20/06/2022 13:54:00 - TRACE] VSCode language id: python
[20/06/2022 13:54:27 - TRACE] VSCode language id: python
[20/06/2022 13:54:29 - TRACE] VSCode language id: python
[20/06/2022 13:54:31 - TRACE] VSCode language id: python
[20/06/2022 13:54:37 - TRACE] VSCode language id: python
[20/06/2022 13:54:39 - TRACE] VSCode language id: python
[20/06/2022 13:54:54 - TRACE] VSCode language id: python
[20/06/2022 13:54:56 - TRACE] VSCode language id: python
[20/06/2022 13:54:59 - TRACE] VSCode language id: python
[20/06/2022 13:55:01 - TRACE] VSCode language id: python
[20/06/2022 13:55:02 - TRACE] VSCode language id: python
[20/06/2022 13:55:04 - TRACE] VSCode language id: python
[20/06/2022 13:55:06 - TRACE] VSCode language id: python
[20/06/2022 13:55:19 - TRACE] VSCode language id: python
[20/06/2022 13:55:21 - TRACE] VSCode language id: python
[20/06/2022 13:55:24 - TRACE] VSCode language id: python
[20/06/2022 13:55:28 - TRACE] VSCode language id: python
[20/06/2022 13:55:30 - TRACE] VSCode language id: python
[20/06/2022 13:55:35 - TRACE] VSCode language id: python
[20/06/2022 13:55:37 - TRACE] VSCode language id: python
[20/06/2022 13:55:39 - TRACE] VSCode language id: python
[20/06/2022 13:55:43 - TRACE] VSCode language id: python
[20/06/2022 13:55:45 - TRACE] VSCode language id: python
[20/06/2022 13:56:15 - TRACE] VSCode language id: python
[20/06/2022 13:56:17 - TRACE] VSCode language id: python
[20/06/2022 13:56:21 - TRACE] VSCode language id: python
[20/06/2022 13:56:23 - TRACE] VSCode language id: python
[20/06/2022 13:56:26 - TRACE] VSCode language id: python
[20/06/2022 13:56:28 - TRACE] VSCode language id: python
[20/06/2022 13:56:39 - TRACE] VSCode language id: python
[20/06/2022 13:56:41 - TRACE] VSCode language id: python
[20/06/2022 13:56:55 - TRACE] VSCode language id: python
[20/06/2022 13:56:57 - TRACE] VSCode language id: python
[20/06/2022 14:35:11 - TRACE] VSCode language id: python
[20/06/2022 14:35:13 - TRACE] VSCode language id: python
[20/06/2022 14:35:16 - TRACE] VSCode language id: python
[20/06/2022 14:35:16 - TRACE] VSCode language id: python
[20/06/2022 14:35:18 - TRACE] VSCode language id: python
[20/06/2022 14:35:23 - TRACE] VSCode language id: python
[20/06/2022 14:35:25 - TRACE] VSCode language id: python
[20/06/2022 14:35:28 - TRACE] VSCode language id: python
[20/06/2022 14:35:34 - TRACE] VSCode language id: python
[20/06/2022 14:35:36 - TRACE] VSCode language id: python
[20/06/2022 14:35:39 - TRACE] VSCode language id: python
[20/06/2022 14:35:41 - TRACE] VSCode language id: python
[20/06/2022 14:35:44 - TRACE] VSCode language id: python
[20/06/2022 14:35:46 - TRACE] VSCode language id: python
[20/06/2022 14:35:49 - TRACE] VSCode language id: python
[20/06/2022 14:35:52 - TRACE] VSCode language id: python
[20/06/2022 14:35:55 - TRACE] VSCode language id: python
[20/06/2022 14:35:57 - TRACE] VSCode language id: python
[20/06/2022 14:35:59 - TRACE] VSCode language id: python
[20/06/2022 14:36:03 - TRACE] VSCode language id: python
[20/06/2022 14:36:05 - TRACE] VSCode language id: python
[20/06/2022 14:36:07 - TRACE] VSCode language id: python
[20/06/2022 14:36:15 - TRACE] VSCode language id: python
[20/06/2022 14:36:23 - TRACE] VSCode language id: python
[20/06/2022 14:36:25 - TRACE] VSCode language id: python
[20/06/2022 14:36:25 - TRACE] VSCode language id: python
[20/06/2022 14:36:27 - TRACE] VSCode language id: python
